name,propername,code,count,description,url,type
ifsttar,"French Institute of Science and Technology for Transport, Development and Networks (IFSTTAR) -m Dataverse",1,0,ERROR ifsttar : http://research-data.ifsttar.fr/sitemap.xml Sitemap URL is 404,http://research-data.ifsttar.fr/sitemap.xml,sitemap
iisg,International Institute of Social History (IISG) - Dataverse,0,334,VALID iisg : http://datasets.iisg.amsterdam/sitemap.xml with 1 sitemap URL(s),http://datasets.iisg.amsterdam/sitemap.xml,sitemap
irl,Institute of Russian Literature - Dataverse,1,0,ERROR irl : http://dataverse.pushdom.ru/sitemap.xml Sitemap URL is 404,http://dataverse.pushdom.ru/sitemap.xml,sitemap
ipc,International Potato Center - Dataverse,1,0,ERROR ipc : http://data.cipotato.org/sitemap.xml Sitemap URL is 404,http://data.cipotato.org/sitemap.xml,sitemap
iit,Italian Institute of Technology (IIT) - Dataverse,0,116,VALID iit : http://dataverse.iit.it/sitemap.xml with 1 sitemap URL(s),http://dataverse.iit.it/sitemap.xml,sitemap
hopkins,Johns Hopkins University - Dataverse,1,0,ERROR hopkins : http://archive.data.jhu.edu/sitemap.xml Sitemap URL is 404,http://archive.data.jhu.edu/sitemap.xml,sitemap
julich,Forschungszentrum Julich - Dataverse,0,121,VALID julich : http://data.fz-juelich.de/sitemap.xml with 1 sitemap URL(s),http://data.fz-juelich.de/sitemap.xml,sitemap
uva,University of Virginia (UVA) - Dataverse,0,176,VALID uva : http://dataverse.lib.virginia.edu/sitemap.xml with 1 sitemap URL(s),http://dataverse.lib.virginia.edu/sitemap.xml,sitemap
rin,Repositori Ilmiah Nasional (RIN) - Dataverse,1,0,"ERROR making request, no further information at this time",http://data.lipi.go.id/sitemap.xml,sitemap
lida,Lithuanian Data Archive for Social Sciences and Humanities (LiDA) - Dataverse,1,0,ERROR lida : http://lida.dataverse.lt/sitemap.xml reading sitemap XML,http://lida.dataverse.lt/sitemap.xml,sitemap
icarda,International Cente  r for Agricultural Research in Dry Ares (ICARDA) - Dataverse,1,0,ERROR icarda : http://data.mel.cgiar.org/sitemap.xml Sitemap URL is 404,http://data.mel.cgiar.org/sitemap.xml,sitemap
nioz,Royal Netherlands Ins  titute for Sea Research (NIOZ) - Dataverse,1,0,ERROR nioz : http://dataverse.nioz.nl/sitemap.xml Sitemap URL is 404,http://dataverse.nioz.nl/sitemap.xml,sitemap
ucdl,Universite catholique de Louvain - Dataverse,1,0,ERROR ucdl : http://dataverse.uclouvain.be/sitemap.xml Sitemap URL is 404,http://dataverse.uclouvain.be/sitemap.xml,sitemap
ofd,Open Forest Data - Dataverse,1,0,ERROR ofd : http://dataverse.openforestdata.pl/sitemap.xml Sitemap URL is 404,http://dataverse.openforestdata.pl/sitemap.xml,sitemap
peking,Peking University - Dataverse,1,0,ERROR peking : http://opendata.pku.edu.cn/sitemap.xml Sitemap URL is 404,http://opendata.pku.edu.cn/sitemap.xml,sitemap
